doctor_id,name,specialty,phone,email,license_no
1,蔡雅涵,身體,(07) 15992590,jundai@example.com,D653359
2,周彥廷,臉,09-3661782,xialei@example.com,D696433
3,李志宏,身體,(09) 20781143,xiuyingcao@example.net,D379597
4,董思穎,臉,(06) 96390944,wyu@example.com,D987423
5,陳美玲,皮膚,0918-990465,vma@example.com,D854629
6,趙琬婷,臉,0904-333093,yujing@example.com,D303814
7,管詩婷,臉,05-75166364,duanguiying@example.org,D383420
8,馮宜君,皮膚,0989392292,xiongping@example.org,D568366
9,蔔欣怡,臉,0945-464479,wei65@example.net,D605754
10,吳俊宏,隆乳,05-43529660,qiaojing@example.net,D223977
